Comment,Designator,Footprint,LCSC
10nF,C7,C_0402_1005Metric,C15195
4.7uF,"C10,C3,C8",C_0402_1005Metric,C23733
100k,R2,R_0402_1005Metric,C25741
10k,"R1,R3",R_0402_1005Metric,C25744
DB,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C2845363
100nF,"C1,C2,C4,C5",C_0402_1005Metric,C307331
SW_Push,SW54,SW_SPST_TL3342,C318884
1uF,"C11,C12,C6,C9",C_0402_1005Metric,C52923
XC6206PxxxMR,U2,SOT-23,C5446
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D5,D6,D7,D8,D9",D_SOD-123,C81598
2N7002,Q1,SOT-23,C8545
STM32F072C8Tx,U1,LQFP-48_7x7mm_P0.5mm,C915660
MX_SW_solder,SW10,SW_MX_1u,
MX_SW_solder,SW48,SW_MX_1u,
MX_SW_solder,SW49,SW_MX_1.25u,
MX_SW_solder,SW41,SW_MX_1u,
2.75,SW25,SW_MX_1u,
MX_SW_solder,SW1,SW_MX_1.75u,
MX_SW_solder,SW57,SW_MX_1.5u,
MX_SW_solder,SW8,SW_MX_1u,
MX_SW_solder,SW60,SW_MX_1.25u,
MX_SW_solder,SW55,SW_MX_1.25u,
MX_SW_solder,SW59,SW_MX_1.25u,
MX_SW_solder,SW15,SW_MX_1u,
MX_SW_solder,SW36,SW_MX_1u,
MX_SW_solder,SW33,SW_MX_1u,
MX_SW_solder,SW6,SW_MX_1.25u,
6.25,SW30,SW_MX_1u,
MX_SW_solder,SW31,SW_MX_1u,
3,SW21,SW_MX_1u,
MX_SW_solder,SW7,SW_MX_1.25u,
MX_stab,S5,STAB_MX_6u,
MX_SW_solder,SW13,SW_MX_1u,
MX_SW_solder,SW5,SW_MX_1u,
MX_SW_solder,SW16,SW_MX_1.25u,
MX_SW_solder,SW24,SW_MX_1u,
MX_SW_solder,SW23,SW_MX_1u,
MX_SW_solder,SW46,SW_MX_1u,
MX_stab,S2,STAB_MX_P_2.25u,
MX_SW_solder,SW26,SW_MX_1u,
MX_stab,S8,STAB_MX_P_2.75u,
3,SW29,SW_MX_1u,
MX_SW_solder,SW43,SW_MX_1u,
MX_SW_solder,SW37,SW_MX_1u,
MX_SW_solder,SW50,SW_MX_1.25u,
MX_SW_solder,SW2,SW_MX_1.5u,
MX_SW_solder,SW56,SW_MX_1u,
MX_SW_solder,SW47,SW_MX_1u,
MX_SW_solder,SW35,SW_MX_1u,
MX_stab,S4,STAB_MX_P_2.25u,
MX_SW_solder,SW42,SW_MX_1u,
MX_SW_solder,SW32,SW_MX_1u,
MX_SW_solder,SW19,SW_MX_1u,
MX_SW_solder,SW4,SW_MX_1.75u_stp,
MX_SW_solder,SW40,SW_MX_1u,
MX_SW_solder,SW9,SW_MX_1u,
MX_SW_solder,SW52,SW_MX_1u,
MX_stab,S7,STAB_MX_P_3u,
MX_SW_solder,SW12,SW_MX_1.5u,
MX_stab,S6,STAB_MX_6.25u,
MX_SW_solder,SW51,SW_MX_1u,
6u,SW34,SW_MX_1u,
MX_SW_solder,SW39,SW_MX_1u,
MX_SW_solder,SW53,SW_MX_1.75u,
MX_SW_solder,SW27,SW_MX_1u,
MX_stab,S1,STAB_MX_P_2u,
MX_SW_solder,SW22,SW_MX_1u,
MX_SW_solder,SW20,SW_MX_1u,
MX_SW_solder,SW45,SW_MX_1.25u,
MX_SW_solder,SW38,SW_MX_1u,
MX_SW_solder,SW44,SW_MX_1.5u,
MX_SW_solder,SW28,SW_MX_1u,
2.25,SW17,SW_MX_1u,
MX_SW_solder,SW18,SW_MX_1u,
MX_SW_solder,SW14,SW_MX_1u,
MX_SW_solder,SW3,SW_MX_1.5u,
MX_stab,S3,STAB_MX_P_3u,
MX_SW_solder,SW11,SW_MX_1.25u,
MX_SW_solder,SW58,SW_MX_1u,
MX_SW_solder,SW61,SW_MX_1u,
MX_stab,S9,STAB_MX_P_2.25u,
